Issue Type,Summary,Description,Labels
Task,[P0 Security] Register JWT Bearer Authentication Scheme in Program.cs,"**Priority**: P0 — CRITICAL SECURITY
**Layer**: Buy2.Api
**Estimated Effort**: Small (1-2 hours)

**Location**:
- `src/Buy2.Api/Program.cs`

**Problem**:
JWT tokens are generated by `JwtTokenGenerator` but the ASP.NET Core pipeline never validates them. `AddAuthentication()` with `AddJwtBearer()` is missing from DI, and `app.UseAuthentication()` is missing from the middleware pipeline. This means ALL endpoints are unauthenticated.

**Implementation Steps**:
1. Install NuGet: `Microsoft.AspNetCore.Authentication.JwtBearer`.
2. In `Program.cs` after `AddSwaggerGen()`, add:
   ```csharp
   builder.Services.AddAuthentication(JwtBearerDefaults.AuthenticationScheme)
       .AddJwtBearer(options =>
       {
           options.TokenValidationParameters = new TokenValidationParameters
           {
               ValidateIssuer = true,
               ValidateAudience = true,
               ValidateLifetime = true,
               ValidateIssuerSigningKey = true,
               ValidIssuer = builder.Configuration[""JwtSettings:Issuer""],
               ValidAudience = builder.Configuration[""JwtSettings:Audience""],
               IssuerSigningKey = new SymmetricSecurityKey(
                   Encoding.UTF8.GetBytes(builder.Configuration[""JwtSettings:Secret""]))
           };
       });
   ```
3. In the middleware pipeline, add `app.UseAuthentication();` BEFORE `app.UseAuthorization();`.
4. Verify `appsettings.json` has matching `JwtSettings:Issuer`, `JwtSettings:Audience`, `JwtSettings:Secret` values that match `JwtTokenGenerator.cs`.

**Acceptance Criteria**:
- Swagger 'Authorize' button accepts Bearer token and authenticated requests reach controllers.
- Requests without valid JWT to protected endpoints return `401 Unauthorized`.
- Login endpoint remains accessible without token.","P0,security,layer:api,auth"
Task,[P0 Security] Add [Authorize] Attributes to All Protected Controllers,"**Priority**: P0 — CRITICAL SECURITY
**Layer**: Buy2.Api
**Estimated Effort**: Small (1 hour)

**Location**:
- ALL files in `src/Buy2.Api/Controllers/`

**Problem**:
All 13 controllers have zero `[Authorize]` attributes. Any unauthenticated user can create roles, delete roles, onboard employees, etc.

**Implementation Steps**:
1. Add `[Authorize]` attribute to ALL controllers EXCEPT:
   - `AuthLoginController.cs` — must remain `[AllowAnonymous]` (users need to login without a token).
   - `AuthPasswordResetController.cs` — should be `[AllowAnonymous]` (user forgot password, can't login).
2. Add role-based authorization where appropriate:
   - `CreateRoleController` → `[Authorize(Roles = ""Admin"")]`
   - `DeleteRoleController` → `[Authorize(Roles = ""Admin"")]`
   - `EmployeeOnboardingController` → `[Authorize(Roles = ""Admin,Manager"")]`
   - `DisciplinaryViolationsController` → `[Authorize(Roles = ""Admin,Manager"")]`
   - `PointsRulesController` → `[Authorize(Roles = ""Admin"")]`
   - `ScheduleValidationController` → `[Authorize(Roles = ""Admin,Manager"")]`
   - Remaining controllers → `[Authorize]` (any authenticated user).

**Acceptance Criteria**:
- Unauthenticated requests to protected endpoints return `401`.
- Employee-role users cannot access Admin-only endpoints (return `403`).
- Login and Password Reset remain publicly accessible.","P0,security,layer:api,auth,controller"
Task,[P0 Security] Implement Password Hashing in Login Flow,"**Priority**: P0 — CRITICAL SECURITY
**Layer**: Buy2.Application
**Estimated Effort**: Medium (2-3 hours)

**Locations**:
- `src/Buy2.Application/CQRS/Authentication/Login/Command/LoginCommand.cs`
- `src/Buy2.Application/Features/Employees/OnboardEmployee/OnboardEmployeeCommand.cs`
- `src/Buy2.Domain/Entities/Employee.cs`

**Problem**:
`LoginCommandHandler` fetches employee by email and immediately generates JWT without verifying password. The `Employee` entity has no `PasswordHash` property. Passwords are never stored or checked.

**Implementation Steps**:
1. Add `PasswordHash` property (`string`) to `Employee.cs` entity.
2. Create EF migration to add `PasswordHash` column to `Employees` table.
3. In `OnboardEmployeeCommandHandler`, hash the password using `BCrypt.Net-Next` (or `Microsoft.AspNetCore.Identity.PasswordHasher<T>`) before saving the employee.
4. In `LoginCommandHandler`:
   - After fetching employee by email, verify `BCrypt.Verify(request.Password, employee.PasswordHash)`.
   - If verification fails, throw or return an unauthorized error.
   - Only generate JWT token if password matches.
5. Update `DatabaseSeeder.cs` to set hashed passwords for seeded employees (e.g., all use `""Password123!""` hashed).

**Acceptance Criteria**:
- Login with wrong password returns `401 Unauthorized`.
- Login with correct password returns valid JWT token.
- Seeded employees can login with known test password.","P0,security,layer:application,layer:domain,auth,database"
Task,[P0 Security] Implement Real Password Reset Handler,"**Priority**: P0 — CRITICAL SECURITY
**Layer**: Buy2.Application
**Estimated Effort**: Small (1-2 hours)

**Location**:
- `src/Buy2.Application/CQRS/Authentication/ResetPassword/ResetPasswordCommand.cs`

**Problem**:
`ResetPasswordCommandHandler` is a stub. Contains comment `// Demo stub` and returns `true` without modifying any data.

**Implementation Steps**:
1. In `ResetPasswordCommandHandler.Handle()`:
   - Query employee by email via `IRepository<Employee>`.
   - If employee not found, throw `KeyNotFoundException` or return failure.
   - Hash the new password using same hashing library as Login (BCrypt or PasswordHasher).
   - Update `employee.PasswordHash` with new hash.
   - Call `_employeeRepository.Update(employee)`.
   - Call `_unitOfWork.SaveChangesAsync()`.
   - Return `true` on success.
2. Remove the stub comment.

**Acceptance Criteria**:
- After password reset, old password no longer works for login.
- New password successfully authenticates via login endpoint.","P0,security,layer:application,auth"
Task,[P1 Production] Add CORS Configuration,"**Priority**: P1 — PRODUCTION READINESS
**Layer**: Buy2.Api
**Estimated Effort**: Small (30 min)

**Location**:
- `src/Buy2.Api/Program.cs`

**Problem**:
No `AddCors()` or `UseCors()` configured. Frontend (Angular or any browser client) will be blocked by CORS policy.

**Implementation Steps**:
1. In `Program.cs` service registration, add CORS policy allowing frontend origins.
2. In middleware pipeline, add `app.UseCors()` BEFORE `app.UseAuthentication()`.
3. Consider reading allowed origins from `appsettings.json` for environment flexibility.

**Acceptance Criteria**:
- Angular dev server (`localhost:4200`) can call API without CORS errors.
- Preflight OPTIONS requests return correct Access-Control headers.","P1,layer:api,infrastructure"
Task,[P1 Production] Add Global Exception Handling Middleware,"**Priority**: P1 — PRODUCTION READINESS
**Layer**: Buy2.Api
**Estimated Effort**: Medium (2-3 hours)

**Locations**:
- `src/Buy2.Api/Middleware/GlobalExceptionMiddleware.cs` [NEW]
- `src/Buy2.Api/Program.cs`

**Problem**:
No exception handling exists. Unhandled exceptions return raw 500 stack traces to the client, leaking internal implementation details.

**Implementation Steps**:
1. Create `src/Buy2.Api/Middleware/GlobalExceptionMiddleware.cs`:
   - Wrap `await _next(context)` in try/catch.
   - Catch `KeyNotFoundException` → return `404` ProblemDetails.
   - Catch `UnauthorizedAccessException` → return `401` ProblemDetails.
   - Catch `ArgumentException` / `ValidationException` → return `400` ProblemDetails.
   - Catch all other `Exception` → return `500` ProblemDetails with generic message (log full exception server-side).
2. Register middleware in `Program.cs`: `app.UseMiddleware<GlobalExceptionMiddleware>();` early in pipeline.
3. Use `ILogger<GlobalExceptionMiddleware>` to log exceptions server-side.

**Acceptance Criteria**:
- Invalid requests return structured ProblemDetails JSON (not stack traces).
- 500 errors log full exception details server-side.
- Client never sees internal class names or file paths.","P1,layer:api,middleware"
Task,[P1 Production] Add Input Validation with FluentValidation,"**Priority**: P1 — PRODUCTION READINESS
**Layer**: Buy2.Application
**Estimated Effort**: Medium (3-4 hours)

**Locations**:
- `src/Buy2.Application/Buy2.Application.csproj` (add FluentValidation NuGet)
- `src/Buy2.Application/Common/Behaviors/ValidationBehavior.cs` [NEW]
- `src/Buy2.Application/Features/*/Validators/` [NEW — one validator per command]

**Problem**:
No input validation on any command. Invalid payloads (empty emails, negative IDs, null required fields) pass through to the database layer before failing with cryptic SQL errors.

**Implementation Steps**:
1. Install NuGet: `FluentValidation.DependencyInjectionExtensions`.
2. Create MediatR pipeline behavior that runs all validators before the handler.
3. Register behavior in `DependencyInjection.cs`.
4. Create validators for critical commands (Login, OnboardEmployee, CreateRole, CreateSite).
5. Throw `ValidationException` from behavior (caught by GlobalExceptionMiddleware → 400).

**Acceptance Criteria**:
- Empty email on login returns `400 Bad Request` with field-level error messages.
- Negative IDs return validation error before hitting database.","P1,layer:application,validation,mediatr"
Task,[P2 Feature] Create AttendanceRecord Entity and Clock-In Endpoint,"**Priority**: P2 — CORE FEATURE
**Layer**: Buy2.Domain + Buy2.Application + Buy2.Infrastructure + Buy2.Api
**Estimated Effort**: Large (4-6 hours)

**Locations**:
- `src/Buy2.Domain/Entities/AttendanceRecord.cs` [NEW]
- `src/Buy2.Infrastructure/Persistence/Configurations/AttendanceRecordConfiguration.cs` [NEW]
- `src/Buy2.Application/Features/Attendance/ClockIn/ClockInCommand.cs` [NEW]
- `src/Buy2.Api/Controllers/AttendanceController.cs` [NEW]

**Problem**:
`AttendanceProfile` defines expected clock-in/out rules, but there's no entity or endpoint to record actual attendance events. Core HRMS feature.

**Implementation Steps**:
1. Create `AttendanceRecord` entity with: `EmployeeId`, `SiteId`, `ClockInTime` (DateTimeOffset), `ClockOutTime` (DateTimeOffset?), `ClockInLatitude` (double), `ClockInLongitude` (double), `ClockInMacAddress` (string?), `Status` (OnTime/Late/Absent).
2. Create EF configuration with FKs to Employee and Site.
3. Add `DbSet<AttendanceRecord>` to `Buy2DbContext`. Create migration.
4. Create `ClockInCommand` with GPS + MAC validation against Site geofence.
5. Determine clock-in status by comparing current time to `AttendanceProfile.ExpectedClockIn`.
6. Create `POST api/v1/attendance/clock-in` endpoint.

**Acceptance Criteria**:
- Employee can clock in with GPS coordinates.
- Clock-in outside geofence radius is rejected.
- Late clock-in recorded with 'Late' status.","P2,feature:slice,layer:domain,layer:application,layer:infrastructure,layer:api,attendance"
Task,[P2 Feature] Create Clock-Out and Timesheet Query Endpoints,"**Priority**: P2 — CORE FEATURE
**Layer**: Buy2.Application + Buy2.Api
**Estimated Effort**: Medium (2-3 hours)

**Locations**:
- `src/Buy2.Application/Features/Attendance/ClockOut/ClockOutCommand.cs` [NEW]
- `src/Buy2.Application/Features/Attendance/GetRecords/GetAttendanceRecordsQuery.cs` [NEW]
- `src/Buy2.Api/Controllers/AttendanceController.cs` (add to existing)

**Implementation Steps**:
1. `ClockOutCommand(int EmployeeId)`: Find today's open record, set ClockOutTime, calculate worked hours.
2. `GetAttendanceRecordsQuery(int EmployeeId, DateTimeOffset? From, DateTimeOffset? To)`: Filter by employee and date range.
3. Add endpoints: `POST api/v1/attendance/clock-out` and `GET api/v1/attendance/records/{employeeId}`.

**Acceptance Criteria**:
- Employee can clock out and worked hours are calculated.
- Timesheet query returns records filtered by date range.","P2,feature:slice,layer:application,layer:api,attendance"
Task,[P2 Feature] Implement Real Schedule Validation Engine,"**Priority**: P2 — CORE FEATURE
**Layer**: Buy2.Infrastructure
**Estimated Effort**: Large (4-6 hours)

**Location**:
- `src/Buy2.Infrastructure/Services/ScheduleValidationEngine.cs`

**Problem**:
Current implementation is a stub returning hardcoded valid result. Scheduling engine is a core differentiator of this HRMS.

**Implementation Steps**:
1. Inject `IRepository<Employee>`, `IRepository<ShiftEntity>`, `IRepository<JobRole>`.
2. Implement 3 validation rules:
   - **Qualification Hard Stop**: Verify assigned employee has matching `JobRoleId`.
   - **Collision Hard Stop**: Detect overlapping shifts for same employee.
   - **Overtime Risk Warning**: Flag if weekly hours exceed 40.
3. Return `PreFlightValidationResultDto(isValid: errors.Count == 0, warnings, errors)`.

**Acceptance Criteria**:
- Unqualified employee assignment returns error.
- Double-booking returns collision error.
- Exceeding 40 weekly hours returns warning (not error).
- Valid schedules return `IsValid = true`.","P2,feature:slice,layer:infrastructure,scheduling"
