Issue Type,Issue Key,Summary,Description,Labels
Task,SCRUM-56,Create EmployeeDocument Entity,"**Task 51 (`SCRUM-56`)**: Create EmployeeDocument Entity

**Target File Location**: `src/Buy2.Domain/Entities/EmployeeDocument.cs`
**Git Branch Name**: `SCRUM-56-create-employee-document-entity`
**PR Title**: `SCRUM-56: Create EmployeeDocument Entity`

**Instructions**:
1. Create `EmployeeDocument.cs` class in `Buy2.Domain.Entities`.
2. Inherit from `BaseEntity`.
3. Add properties: `EmployeeId` (int), `Category` (string), and `StorageUrl` (string).
4. No complex logic required; provide property accessors only.","layer:domain,entity,good first issue"
Task,SCRUM-57,Create DisciplinaryViolation Entity,"**Task 52 (`SCRUM-57`)**: Create DisciplinaryViolation Entity

**Target File Location**: `src/Buy2.Domain/Entities/DisciplinaryViolation.cs`
**Git Branch Name**: `SCRUM-57-create-disciplinary-violation-entity`
**PR Title**: `SCRUM-57: Create DisciplinaryViolation Entity`

**Instructions**:
1. Create `DisciplinaryViolation.cs` class in `Buy2.Domain.Entities`.
2. Inherit from `BaseEntity`.
3. Add properties: `EmployeeId` (int), `Severity` (string), and `Description` (string).
4. Provide property accessors only.","layer:domain,entity,good first issue"
Task,SCRUM-58,Create PointsTransaction Entity,"**Task 53 (`SCRUM-58`)**: Create PointsTransaction Entity

**Target File Location**: `src/Buy2.Domain/Entities/PointsTransaction.cs`
**Git Branch Name**: `SCRUM-58-create-points-transaction-entity`
**PR Title**: `SCRUM-58: Create PointsTransaction Entity`

**Instructions**:
1. Create `PointsTransaction.cs` class in `Buy2.Domain.Entities`.
2. Inherit from `BaseEntity`.
3. Add properties: `EmployeeId` (int), `PointsRuleId` (int?), `Amount` (int), and `TransactionType` (string).
4. Provide property accessors only.","layer:domain,entity,good first issue"
Task,SCRUM-59,Create RewardRedemption Entity,"**Task 54 (`SCRUM-59`)**: Create RewardRedemption Entity

**Target File Location**: `src/Buy2.Domain/Entities/RewardRedemption.cs`
**Git Branch Name**: `SCRUM-59-create-reward-redemption-entity`
**PR Title**: `SCRUM-59: Create RewardRedemption Entity`

**Instructions**:
1. Create `RewardRedemption.cs` class in `Buy2.Domain.Entities`.
2. Inherit from `BaseEntity`.
3. Add properties: `RewardItemId` (int), `EmployeeId` (int), `VoucherCode` (string), and `RedeemedAt` (DateTimeOffset).
4. Provide property accessors only.","layer:domain,entity,good first issue"
Task,SCRUM-60,Create UploadEmployeeDocumentDto Record,"**Task 55 (`SCRUM-60`)**: Create UploadEmployeeDocumentDto Record

**Target File Location**: `src/Buy2.Application/Employees/DTOs/DocumentDtos.cs`
**Git Branch Name**: `SCRUM-60-create-upload-employee-document-dto`
**PR Title**: `SCRUM-60: Create UploadEmployeeDocumentDto Record`

**Instructions**:
1. Create file `DocumentDtos.cs` under `Buy2.Application.Employees.DTOs`.
2. Define record DTO: `public record UploadEmployeeDocumentDto(int EmployeeId, string Category, string StorageUrl);`.","layer:application,dto,good first issue"
Task,SCRUM-61,Create LogDisciplinaryViolationDto Record,"**Task 56 (`SCRUM-61`)**: Create LogDisciplinaryViolationDto Record

**Target File Location**: `src/Buy2.Application/Employees/DTOs/ViolationDtos.cs`
**Git Branch Name**: `SCRUM-61-create-log-disciplinary-violation-dto`
**PR Title**: `SCRUM-61: Create LogDisciplinaryViolationDto Record`

**Instructions**:
1. Create file `ViolationDtos.cs` under `Buy2.Application.Employees.DTOs`.
2. Define record DTO: `public record LogDisciplinaryViolationDto(int EmployeeId, string Severity, string Description);`.","layer:application,dto,good first issue"
Task,SCRUM-62,Create PointsTransactionDto Record,"**Task 57 (`SCRUM-62`)**: Create PointsTransactionDto Record

**Target File Location**: `src/Buy2.Application/Points/DTOs/PointsTransactionDtos.cs`
**Git Branch Name**: `SCRUM-62-create-points-transaction-dto`
**PR Title**: `SCRUM-62: Create PointsTransactionDto Record`

**Instructions**:
1. Create file `PointsTransactionDtos.cs` under `Buy2.Application.Points.DTOs`.
2. Define record DTO: `public record PointsTransactionDto(int EmployeeId, int? PointsRuleId, int Amount, string TransactionType);`.","layer:application,dto,good first issue"
Task,SCRUM-63,Create RedeemRewardDto Record,"**Task 58 (`SCRUM-63`)**: Create RedeemRewardDto Record

**Target File Location**: `src/Buy2.Application/Rewards/DTOs/RedemptionDtos.cs`
**Git Branch Name**: `SCRUM-63-create-redeem-reward-dto`
**PR Title**: `SCRUM-63: Create RedeemRewardDto Record`

**Instructions**:
1. Create file `RedemptionDtos.cs` under `Buy2.Application.Rewards.DTOs`.
2. Define record DTO: `public record RedeemRewardDto(int RewardItemId, int EmployeeId);`.","layer:application,dto,good first issue"
Task,SCRUM-64,Create EmployeeDocumentConfiguration Class,"**Task 59 (`SCRUM-64`)**: Create EmployeeDocumentConfiguration Class

**Target File Location**: `src/Buy2.Infrastructure/Persistence/Configurations/EmployeeDocumentConfiguration.cs`
**Git Branch Name**: `SCRUM-64-create-employee-document-configuration`
**PR Title**: `SCRUM-64: Create EmployeeDocumentConfiguration Class`

**Instructions**:
1. Create class `EmployeeDocumentConfiguration` implementing `IEntityTypeConfiguration<EmployeeDocument>`.
2. Configure required properties for `Category` and `StorageUrl`.","layer:infrastructure,database"
Task,SCRUM-65,Create DisciplinaryViolationConfiguration Class,"**Task 60 (`SCRUM-65`)**: Create DisciplinaryViolationConfiguration Class

**Target File Location**: `src/Buy2.Infrastructure/Persistence/Configurations/DisciplinaryViolationConfiguration.cs`
**Git Branch Name**: `SCRUM-65-create-disciplinary-violation-configuration`
**PR Title**: `SCRUM-65: Create DisciplinaryViolationConfiguration Class`

**Instructions**:
1. Create class `DisciplinaryViolationConfiguration` implementing `IEntityTypeConfiguration<DisciplinaryViolation>`.
2. Configure required properties for `Severity` and `Description`.","layer:infrastructure,database"
